url_original,path_original,status_http,titulo_detectado,tipo_crawl,tipo_plan,url_destino_sugerida,confianza,motivo,prioridad_revision,accion_sugerida,nota
https://artiani.com.mx/producto/Rascadero-poste-para-gato/RAS-01,/producto/Rascadero-poste-para-gato/RAS-01,200,"Producto - Rascadero poste para gato",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Rasqueta-limpiadora-para-peceras/RASQ-01,/producto/Rasqueta-limpiadora-para-peceras/RASQ-01,200,"Producto - Rasqueta limpiadora para peceras",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Repelente-dry-entrenador-para-perro-/REPE-03,/producto/Repelente-dry-entrenador-para-perro-/REPE-03,200,"Producto - Repelente dry entrenador para perro",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Repelente-entrenador-para-perro/REPE-01,/producto/Repelente-entrenador-para-perro/REPE-01,200,"Producto - Repelente entrenador para perro",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Repelente-entrenador-stay--para-perros-/REPE-02,/producto/Repelente-entrenador-stay--para-perros-/REPE-02,200,"Producto - Repelente entrenador stay para perros",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Rodaja-snack-para-roedores-/TAR-02,/producto/Rodaja-snack-para-roedores-/TAR-02,200,"Producto - Rodaja snack para roedores",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Rueda-para-hamster-con-base-amarilla/RUE-02A,/producto/Rueda-para-hamster-con-base-amarilla/RUE-02A,200,"Producto - Rueda para hamster con base amarilla",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Shampoo-para-erizo-champuas-/SHAE-01,/producto/Shampoo-para-erizo-champuas-/SHAE-01,200,"Producto - Shampoo para erizo champuas",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Snack-mini-bites-mezcla-de-hierbas-finas-/BITE-01,/producto/Snack-mini-bites-mezcla-de-hierbas-finas-/BITE-01,200,"Producto - Snack mini bites mezcla de hierbas finas",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Snack-mix-tropical-para-rodeores/MEZ-03,/producto/Snack-mix-tropical-para-rodeores/MEZ-03,200,"Producto - Snack mix tropical para rodeores",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Sustrato-organico-para-reptil-fibra-de-coco-2.1-Gal/SUT-04,/producto/Sustrato-organico-para-reptil-fibra-de-coco-2.1-Gal/SUT-04,200,"Producto - Sustrato organico para reptil fibra de coco 2.1 Gal",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Sustrato-organico-para-reptil-polvillo-de-coco/SUT-05,/producto/Sustrato-organico-para-reptil-polvillo-de-coco/SUT-05,200,"Producto - Sustrato organico para reptil polvillo de coco",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
https://artiani.com.mx/producto/Tapa-para-pecera-50-cm-de-malla/TAPI-01,/producto/Tapa-para-pecera-50-cm-de-malla/TAPI-01,200,"Producto - Tapa para pecera 50 cm de malla",producto_legacy,producto,,baja,coincidencia_insuficiente,media,revisar_manual,url_indexable_sin_equivalencia_confiable
