url,path,tipo_detectado,status,content_type,titulo,fuente
https://artiani.com.mx/producto/Alimento-para-gato-adulto-indoor-nupec-1.5-kg/NUGAIN-01,/producto/Alimento-para-gato-adulto-indoor-nupec-1.5-kg/NUGAIN-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Alimento para gato adulto indoor nupec 1.5 kg",crawl
https://artiani.com.mx/producto/Alimento-para-gato-adulto-indoor-nupec-3kg/NUPI-01,/producto/Alimento-para-gato-adulto-indoor-nupec-3kg/NUPI-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Alimento para gato adulto indoor nupec 3kg",crawl
https://artiani.com.mx/producto/Alimento-para-gato-kitten-nupec-3kg/KINU-01,/producto/Alimento-para-gato-kitten-nupec-3kg/KINU-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Alimento para gato kitten nupec 3kg",crawl
https://artiani.com.mx/producto/Bomba-de-aire-1-salida-/AIR-01,/producto/Bomba-de-aire-1-salida-/AIR-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Bomba de aire 1 salida",crawl
https://artiani.com.mx/producto/Cama_antiestres_chica_para_mascotas/CAMC-01,/producto/Cama_antiestres_chica_para_mascotas/CAMC-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Cama_antiestres_chica_para_mascotas",crawl
https://artiani.com.mx/producto/Cama_antiestres_chica_para_mascotas/CAMC-02,/producto/Cama_antiestres_chica_para_mascotas/CAMC-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Cama_antiestres_chica_para_mascotas",crawl
https://artiani.com.mx/producto/Cama_antiestres_chica_para_mascotas_/CAMC-04,/producto/Cama_antiestres_chica_para_mascotas_/CAMC-04,producto_legacy,200,"text/html; charset=UTF-8","Producto - Cama_antiestres_chica_para_mascotas_",crawl
https://artiani.com.mx/producto/Cama_antiestres_mediana_para_perros_y_gatos/CAMM-07,/producto/Cama_antiestres_mediana_para_perros_y_gatos/CAMM-07,producto_legacy,200,"text/html; charset=UTF-8","Producto - Cama_antiestres_mediana_para_perros_y_gatos",crawl
https://artiani.com.mx/producto/Canutillos_anillos_de_ceramica_/CANC-01,/producto/Canutillos_anillos_de_ceramica_/CANC-01,producto_legacy,200,"text/html; charset=UTF-8","Producto - Canutillos_anillos_de_ceramica_",crawl
https://artiani.com.mx/producto/Croqueta-para-gato-kitten-nupec-1.5kg/KINU-02,/producto/Croqueta-para-gato-kitten-nupec-1.5kg/KINU-02,producto_legacy,200,"text/html; charset=UTF-8","Producto - Croqueta para gato kitten nupec 1.5kg",crawl
