9,General,,,,,,
CODIGO,NOMBRE DEL PRODUCTO,PRECIO,EX.,MARCA,MP,P.SUG.,ROT
HG0315,PIÑA PLANA 6X2X10 CM.,$27.61,3,HOBBY2,1,$55.23,AAA
HG0290,CALAMARDO 6X3X12 CM.,$33.14,4,HOBBY2,1,$66.28,AAA
HG0280,PIEZA BOB 4 MOD. 7X6X8 CM.,$33.14,8,HOBBY2,1,$66.28,AAA
HG0295,DON CANGREJO 7X3X10 CM.,$33.14,11,HOBBY2,1,$66.28,AAA
HG0285,PIEZA PATRICIO 4 MOD. 7X4X6 CM.,$33.14,19,HOBBY2,1,$66.28,AAA
HG0206,BEBEDERO REDONDO 12X12X3CM.,$36.83,1,HOBBY2,1,$73.66,AAA
HG0745,ARRECIFE FLOUR 12X4X6 CM.,$36.83,5,HOBBY2,1,$73.66,AAA
HG0205,BEBEDERO ESQUINA 13X12X3CM.,$36.83,8,HOBBY2,1,$73.66,AAA
HG0900,TIRANOREX 20X2X10 CM.,$36.83,17,HOBBY2,1,$73.66,AAA
HG0905,TRICERATOPS 19X3X8 CM.,$36.83,23,HOBBY2,1,$73.66,AAA
HG1400,DINOSAURIO 17X18X4 CM.,$37.79,12,HOBBY2,1,$75.58,AAA
HG1355,CASTILLO CH M-6  13X5X6 CM.,$42.33,2,HOBBY2,1,$84.65,AAA
HG1350,CASTILLO CH M-1 13X7X3 CM.,$42.33,4,HOBBY2,1,$84.65,AAA
HG1360,CASTILLO CH M-4  12X10X5 CM.,$42.33,14,HOBBY2,1,$84.65,AAA
HG0570,CASTILLO 02 12X4X8 CM.,$46.04,2,HOBBY2,1,$92.08,AAA
HG0595,CASTILLO 07 9X4X6 CM.,$46.04,2,HOBBY2,1,$92.08,AAA
HG0605,CASTILLO 09 16X6X10 CM.,$46.04,3,HOBBY2,1,$92.08,AAA
HG0840,CORAL NEMO 8X13X13 CM.,$46.04,3,HOBBY2,1,$92.08,AAA
HG1005,ESCAFANDRA 8X4X9 CM.,$46.04,4,HOBBY2,1,$92.08,AAA
HG1295,PESCADO FLOUR 8X4X10 CM.,$46.04,4,HOBBY2,1,$92.08,AAA
HG0105,BARCO MOD 01 11X5X4 CM.,$46.04,6,HOBBY2,1,$92.08,AAA
HG0395,CALAVERA FLOUR 8X4X10 CM.,$46.04,6,HOBBY2,1,$92.08,AAA
