9,General,,,,,,
CODIGO,NOMBRE DEL PRODUCTO,PRECIO,EX.,MARCA,MP,P.SUG.,ROT
PBR150,REACTOR PHOSBAN 150 G.(OF),"$1,617.08",5,TWO LITTLE,1,"$3,234.01",AAA
PBR550,REACTOR PHOSBAN 550G(OF),"$2,352.98",20,TWO LITTLE,12,"$4,705.48",AAA
015645,ALIMENTADOR G. P/CORALES(3),$479.96,5,WAVE POINT,5,$959.24,AAA
T-9900,ALIMENTADOR AUT.C/PILA 24HR.,$500.87,9,YINSHENG,12,"$1,001.71",AAA
BL-20E,*HAMACA PARA BETTAS,$52.74,35,ZOO MED,24,$105.31,AAA
BL-21,HAMACA PARA BETTAS GDE.,$70.41,43,ZOO MED,24,$140.71,AAA
100101216,BETTA KIT EQ.NEGRO .5 G.(OF),$226.17,6,AQUEON,6,$452.16,AAA
100101206,BETTA KIT EQ. .5G. AZUL(OF),$226.17,7,AQUEON,6,$452.16,AAA
100101222,KIT BETTA ROMPE C.ROJO .5G.(OF),$260.51,15,AQUEON,4,$521.02,AAA
100117816,KIT NEOGLOW ROSA 5.5 G.(OF),"$1,326.78",2,AQUEON,2,"$2,653.36",AA
100117817,KIT NEOGLOW ROSA 7.5 G.,"$1,782.29",2,AQUEON,2,"$3,564.56",AA
100531619,KIT P/CAMARONES 7.5 G.(OF),"$1,787.52",1,AQUEON,4,"$3,574.85",AA
100117815,KIT NEOGLOW VERDE 5 G.(OF),"$1,875.35",6,AQUEON,2,"$3,750.53",AA
100117789,KIT AQUA SPRINGS 11 GAL,"$2,325.96",5,AQUEON,4,"$4,651.43",AA
100531923,BASE BIOCUBO DE 16 GAL.(OF),"$3,627.63",4,AQUEON,1,"$7,255.03",AA
100115661,ACUARIO BIOCUBO DE 16 GAL.(OF),"$7,994.67",4,AQUEON,1,"$15,989.04",AA
B-450100,BETTERA HEXAGONAL,$78.46,89,BIOPRO,25,$156.58,AAA
B440100,BETTERA TRIPLE 17 X 8 X 8.5,$82.85,24,BIOPRO,25,$165.59,AAA
B440200,BETTERA DOBLE 19X11X13CM.,$137.09,128,BIOPRO,30,$274.13,AAA
AFT01,*BETTERA ACRILICO PARED(OF),$267.48,139,BIOPRO,12,$534.96,AAA
B-226,PECERA 12 LTS. C/LUZ Y FILTRO,$720.83,42,BIOPRO,1,"$1,441.65",AAA
XM-300,PECERA PANDA 7 G.EQUIPADA 8 W,"$1,263.50",12,BIOPRO,1,"$2,526.81",AAA
US0610,PECERA C/LUZ LED Y FILTRO 20 L.,"$1,354.82",1,BIOPRO,1,"$2,709.56",AAA
MG-400,PECERA 6 GAL. EQUIPADA 8 W (OF),"$1,573.28",5,BIOPRO,1,"$3,146.50",AA
MG-500,PECERA 13 GAL. C/BASE EQ.9 W(OF),"$2,636.49",31,BIOPRO,1,"$5,272.83",AAA
V8-RG88-B,BASE P/ACUARIO V8-RG88 60 G.(OF),"$3,539.98",1,BIOPRO,1,"$7,079.78",AA
V8-RG108-B,BASE P/ACUARIOS V8-RG108 80 G.(OF),"$4,342.35",3,BIOPRO,1,"$8,684.24",AA
V8-RG128-B,BASE P/ACUARIOS V8-RG128 95 G.(OF),"$5,144.77",2,BIOPRO,1,"$10,289.13",AA
US0612,ACUARIO C/BASE Y LAMP.176L.(OF),"$10,138.17",9,BIOPRO,1,"$20,276.25",AAA
US0613,ACUARIO C/BASE Y LAMP.210L.(OF),"$12,290.21",10,BIOPRO,1,"$24,580.41",AAA
BEINA,BETTERA TIPO COPA,$52.07,5,FERI,1,$104.14,AAA
BEINPAA,BETTERA IND. PANORAMICA,$53.69,1,FERI,1,$107.39,AAA
BEINPAEQA,BETERA IND. PANORAMICA EQ.,$79.29,3,FERI,1,$158.59,AAA
BEDOA,BETTERA DOBLE C/CHUPONES,$105.68,4,FERI,1,$211.37,AAA
ACBE4CA,ACUACONTENEDOR P/BETTAS C/4,$138.84,3,FERI,1,$277.68,AAA
PB04,PECERA BOLA DE VIDRIO # 4,$18.09,133,HOBBY PET,48,$36.19,AAA
PB05,PECERA BOLA DE VIDRIO # 5,$21.05,39,HOBBY PET,48,$42.10,AAA
PB06,PECERA BOLA DE VIDRIO # 6,$25.27,2200,HOBBY PET,36,$50.55,AAA
PB08,PECERA BOLA DE VIDRIO # 8,$37.38,1077,HOBBY PET,18,$74.77,AAA
HP5301,BETTERA 1/2 G. 16X11X14 CM.,$69.48,764,HOBBY PET,1,$138.96,AAA
PB10,PECERA BOLA DE VIDRIO # 10,$72.77,2,HOBBY PET,6,$145.55,AAA
HP932,BETTERA 1 G. 23X12X15 CM.,$75.80,580,HOBBY PET,1,$151.61,AAA
HP938,PECERA DE 2 G. 30*15CM.,$105.56,45,HOBBY PET,1,$211.12,AAA
HP7730,KIT 1/2 G.P/BETTAS SUPER EQ.,$121.80,49,HOBBY PET,1,$243.60,AAA
HP7735,KIT 1 G.P/BETTAS SUPER EQ.,$133.40,21,HOBBY PET,1,$266.80,AAA
HP950,PECERA DE 5 G.41*21 CM.,$150.70,51,HOBBY PET,1,$301.41,AAA
HP7761,JUEGO 3 TORTUG. STD..5-1-3G.,$249.40,8,HOBBY PET,1,$498.80,AAA
HP7796,KIT 5 G. BASICO FIL.ESQUINA,$351.75,8,HOBBY PET,1,$703.51,AAA
HP7700,KIT 5 G. BASICO FIL.PLACA,$371.39,1,HOBBY PET,1,$742.79,AAA
HP7756,JUEGO 4 TORTUG. STD..5-1-3-5G.,$454.81,52,HOBBY PET,1,$909.62,AAA
HP7706,KIT 10 G.BASICO FIL.PLACA,$480.90,6,HOBBY PET,1,$961.80,AAA
HP7725,"JUEGO 4 PEC.STD. 1,2,5,10 G.",$522.00,72,HOBBY PET,1,"$1,044.00",AAA
RA908,BASE MET.ANGULO 5 G.(40 CM.)(OF),$547.52,4,HOBBY PET,1,"$1,095.04",A
HP7755,"JUEGO 4 PEC.ALTAS 1,3,6,12 G.",$566.97,6,HOBBY PET,1,"$1,133.94",AAA
HP901,BASE MET.P/10 G.50 X 26 CM.(OF),$612.48,8,HOBBY PET,1,"$1,224.96",AAA
HP902,BASE MET.P/20 G.60 X 31 CM.(OF),$751.68,2,HOBBY PET,1,"$1,503.36",AA
RA916,BASE MET.ANGULO PANOR.(OF),$751.68,6,HOBBY PET,1,"$1,503.36",AA
HP7757,JUEGO 4 TORTUG. PAN.1-2-4-7G.,$787.64,41,HOBBY PET,1,"$1,575.28",AAA
HP903,BASE MET.P/30 G.77 X 30 CM.(OF),$853.76,3,HOBBY PET,1,"$1,707.52",AAA
HP4505,PECERA HEXAGONAL MED 50 CM.,$855.00,1,HOBBY PET,1,"$1,709.97",AAA
HP908,BASE MET.P/35 G.92 X 32 CM.(OF),$909.44,3,HOBBY PET,1,"$1,818.88",AA
HP7758,"JUEGO 4 PEC.PAN. 3 MM.2,4,8,12G.",$930.34,11,HOBBY PET,1,"$1,860.68",AAA
SS015,BASE MADERA ACUARIO PANOR.CH,$934.98,1,HOBBY PET,1,"$1,869.96",AAA
HP905,BASE MET.P/50 G.124 X 33 CM.(OF),"$1,104.32",3,HOBBY PET,1,"$2,208.64",AA
HP907,BASE MET.P/33 G.103 X 27 CM.(OF),"$1,104.32",4,HOBBY PET,1,"$2,208.64",AA
HP7760,JUEGO 3 PEC.CUBO PAN.,"$1,136.80",11,HOBBY PET,1,"$2,273.60",AAA
HP7759,JUEGO 4 PEC.PAN. 6 MM.2-5-9-14G.,"$1,139.72",1,HOBBY PET,1,"$2,279.44",AAA
HP940,PECERA DE 30 G.77*30*45 CM.,"$1,199.99",12,HOBBY PET,1,"$2,399.99",AAA
HP7726,"JUEGO 5 PEC. 1,2,5,10,22 G.","$1,432.60",48,HOBBY PET,1,"$2,865.20",AAA
HP4511,PECERA PANOR.10MM 77X38X50 CM.,"$1,508.00",6,HOBBY PET,1,"$3,016.00",AAA
HP493,PECERA DE 33 G. 103*27*45 CM,"$1,599.98",16,HOBBY PET,1,"$3,199.97",AAA
HP4512,PECERA PANOR.10MM. 77X38X65 CM.,"$1,740.00",4,HOBBY PET,1,"$3,480.00",AAA
HP949,PECERA DE 70 G.123*32*70 CM.10 MM.,"$2,307.68",7,HOBBY PET,1,"$4,615.36",AA
HP904,BASE MET.P/6 PECERAS DE 10G.,"$2,876.80",3,HOBBY PET,1,"$5,753.60",AAA
HP978,SISTEMA MEDICACION EQ.300 LTS.,"$12,180.00",1,HOBBY PET,1,"$24,360.00",A
HP977,TARJA PARA SISTEMAS DE FILTRACION,"$13,659.00",1,HOBBY PET,1,"$27,318.00",A
FL7955,ACUARIO NANO CUBO 18 LT,"$1,705.13",2,LOMAS,,"$3,410.26",AA
FL7957,ACUARIO NANO REEF 18 LT,"$2,102.50",2,LOMAS,,"$4,205.00",AA
HA-008C,AEREADOR CIL. 1.8 X 5 CM.,$13.18,240,AQUAEL,250,$26.16,AAA
HC-005,AEREADOR CIL. 4.5 X 5 CM.,$9.45,24,BIOPRO,1,$18.87,AAA
HA-117C,AEREADOR TORTUGA 4 X 5 CM.,$14.68,86,BIOPRO,250,$29.17,AAA
HA-003D,AEREADOR CIL. 1.5 X 2.5 CM. 2 PZ.,$14.68,437,BIOPRO,400,$29.17,AAA
SK-40D,DIFUSOR MADERA P/SKIMMER,$16.91,261,BIOPRO,150,$33.67,AA
HA-02306C,PIEDRA AER. REF. 15CM.,$22.89,9,BIOPRO,240,$45.68,AAA
HA-201C,PIEDRA AER. REF. 15 CM.,$24.38,205,BIOPRO,150,$48.69,AAA
AS-30,*DIFUSOR FLEXIBLE 30 CM.,$28.61,277,BIOPRO,160,$57.05,AAA
HA-02310C,PIEDRA AER. REF. 25 CM.,$35.08,218,BIOPRO,168,$70.14,AAA
AS-45,*DIFUSOR FLEXIBLE 45 CM.,$41.55,89,BIOPRO,160,$83.01,AAA
HA-02314C,PIEDRA AER. REF.35 CM.,$48.76,194,BIOPRO,144,$97.38,AAA
AS-60,*DIFUSOR FLEXIBLE 60 CM.,$50.01,250,BIOPRO,160,$99.95,AAA
HA-202C,PIEDRA AER. REF. 25 CM.,$53.49,212,BIOPRO,140,$106.82,AAA
AS-75,*DIFUSOR FLEXIBLE 75 CM.,$55.48,284,BIOPRO,160,$110.89,AAA
AS-90,*DIFUSOR FLEXIBLE 90 CM.,$78.62,207,BIOPRO,160,$157.22,AAA
AS-120,*DIFUSOR FLEXIBLE 120 CM.,$87.33,32,BIOPRO,160,$174.60,AAA
HLED-001,AER. CIRCULAR LEDS 8CM,$246.08,1,BIOPRO,60,$492.06,AAA
HA-008B,PIEDRA AER.5PZ. 1.7 X 5CM.,$23.78,322,BIOPRO NEW,,$47.56,AAA
HB-006B,PIEDRA AER. 12PZ.1X3 CM.,$32.48,242,BIOPRO NEW,,$64.96,AAA
C10,CORTINA DE BURBUJAS 10 CM.,$17.82,5,FERI,1,$35.65,AAA
C20,CORTINA DE BURBUJAS 20 CM.,$19.45,6,FERI,1,$38.90,AAA
C30,CORTINA DE BURBUJAS 30 CM.,$23.51,5,FERI,1,$47.02,AAA
C40,CORTINA DE BURBUJAS 40 CM.,$26.74,3,FERI,1,$53.49,AAA
C50,CORTINA DE BURBUJAS 50 CM.,$30.31,5,FERI,1,$60.62,AAA
C70,CORTINA DE BURBUJAS 70 CM.,$56.73,2,FERI,1,$113.47,AAA
C100,CORTINA DE BURBUJAS 100 CM.,$77.00,5,FERI,1,$154.00,AAA
HA-118C,AEREADOR TORTUGA 6 X 8 CM.,$22.89,724,HAOHAI,200,$45.68,AAA
HA-203C,AEREADOR CIRCULAR  7.5 CM,$29.85,237,HAOHAI,144,$59.63,AAA
HA-005C2,AEREADORES RED.2PZ. 2.5 X 2.5CM.,$40.23,458,HAOHAI,1,$80.00,AAA
HA-204,AEREADOR CIRCULAR 10 CM,$54.74,44,HAOHAI,48,$109.39,AAA
HA-204DC,AEREDOR CIRCULAR 12.5 CM,$58.47,91,HAOHAI,100,$116.90,AAA
FA-01,AEREADOR MONTAÑA 7X8CM.,$115.20,133,HAOHAI,67,$230.37,AAA
HA-003C,AEREADOR 1.5 X 2.5 24 PZ.,$152.27,288,HAOHAI,72,$304.37,AAA
HA-005C,AEREADOR 2.5 X 2.5 24 PZ.,$155.01,344,HAOHAI,360,$309.95,AAA
HP261,AEREADOR CIL. 3CM. 10 PZ.,$35.96,295,HOBBY PET,75,$71.92,AAA
100106022,ALIM. P/PLANTAS 124 G.(OF),$88.10,16,AQUEON,12,$176.10,AAA
100106023,ALIM. P/PLANTAS 250 G.(OF),$109.13,20,AQUEON,12,$217.93,AAA
F801,VITA-FLORA P/PLANTAS 125 ML.,$31.23,54,BIOMAA,30,$62.47,AAA
BP9990B,SUBS.P/PLANTAS 5KG.ROJO(5MM.),$377.70,234,BIOPRO,5,$755.25,AAA
HP9990B,SUBS.P/PLANTAS 5KG.NEGRO(5MM.),$377.70,246,BIOPRO,5,$755.25,AAA
BP9989,SUBS.P/PLANTAS 5KG.NEGRO(2MM.),$394.13,96,BIOPRO,6,$788.07,AAA
CA31281,ARCILLA P/ACAURIOS PLANTADOS 6KG.,$56.84,265,HOBBY PET,1,$113.68,AAA
00577,*VALVULA CHECK P/CO2(OF),$55.70,18,ISTA PRODU,1,$110.89,AAA
00578,*SUJETADORES P/TUBOS DE CO2(OF),$59.68,13,ISTA PRODU,1,$118.83,AAA
00565,*MINI CONTADOR BURBUJAS CO2(OF),$87.83,9,ISTA PRODU,1,$175.46,AAA
00691,*SOLUCION INDICADOR CO2(OF),$107.24,13,ISTA PRODU,1,$214.28,AAA
00690,INDICADOR CO2 P/PLANTAS(OF),$214.98,7,ISTA PRODU,1,$429.85,AAA
00562,*DIFUSOR CO2 3EN1 KIT CH.(OF),$216.82,5,ISTA PRODU,1,$433.29,AAA
00685,*DIFUSOR DE CO2 CONO(OF),$219.95,11,ISTA PRODU,1,$439.72,AAA
00528,REACTOR DE CO2 MED.(OF),$230.44,1,ISTA PRODU,1,$460.74,AAA
00505,*DIFUSOR DE CO2 REDONDO(OF),$263.50,7,ISTA PRODU,1,$526.81,AAA
00683,CARTUCHO CO2 LIQUIDO 88GR.(OF),$278.79,8,ISTA PRODU,1,$557.27,AAA
00563,*DIFUSOR CO2 3EN1 KIT G.(OF),$351.58,4,ISTA PRODU,1,$703.13,AAA
00607,*VALVULA MINI P/REGULAR CO2(OF),$540.93,2,ISTA PRODU,1,"$1,081.72",AAA
00673,KIT CO2 PARA 88 G. P/PLANTAS(OF),"$1,220.54",9,ISTA PRODU,1,"$2,440.79",AAA
00533,VALVULA PROF. P/CO2(OF),"$3,302.90",1,ISTA PRODU,1,"$6,605.52",AAA
MM211,NUTRIPLANT 125 ML.,$48.84,3,MEDICAL CO,1,$97.69,AA
HPLUS,HUMUPLUS 500 GR.,$147.19,3,PRODAC,1,$294.38,AAA
HUMUS,HUMUS 500 GR.,$163.83,3,PRODAC,1,$327.67,AAA
NFERRO250,NUTRONFERRO 250 ML.,$179.38,2,PRODAC,1,$358.76,AAA
FVIVO1.8,FONDOVIVO 1.8 LT - 1.5 KG.,$185.60,1,PRODAC,1,$371.20,AAA
NFLORA250,NUTRONFLORA 250 ML.,$202.23,5,PRODAC,1,$404.46,AAA
FERTIL1.8,FERTIL PLANT 2.4 LT 1.8 KG.,$332.79,2,PRODAC,1,$665.58,AAA
CO2,"TABLETAS DE CO,2",$399.82,3,PRODAC,1,$799.65,AAA
AP4,*PLANTA S. BLISTER 10 CM.,$17.41,93,BIOPRO,100,$34.74,AAA
AP-109A,*PLANTA ARBUSTO MINI 8 CM.,$24.13,23,BIOPRO,101,$47.61,AAA
BP9746,*PLANTA BONSAI CHICO (1PZ),$24.88,79,BIOPRO,200,$49.76,AAA
MD-001,AD. PIEDRA C/PLANTA #1 6X6X6 CM.,$26.87,204,BIOPRO,288,$53.62,AAA
MD-002,AD. SUCULENTA #1 6X5X5 CM.,$29.60,218,BIOPRO,288,$59.20,AAA
MD-004,AD. PIEDRA C/PLANTA #2 6X5X8 CM.,$34.08,86,BIOPRO,144,$67.99,AAA
AP-12,*PLANTA S. BLISTER 31 CM.,$37.81,46,BIOPRO,100,$75.07,AAA
AP8,*PLANTA S. BLISTER 20 CM.,$38.31,37,BIOPRO,100,$75.93,AAA
BP9749,*PLANTAS TIPO CADENA 12 CM.C/3,$40.80,208,BIOPRO,125,$81.51,AAA
MD-005,AD. SUCULENTA #2 7X7X6 CM.,$41.05,100,BIOPRO,144,$81.93,AAA
AP16,*PLANTA S. BLISTER 40 CM.,$55.23,27,BIOPRO,100,$109.82,AAA
BP9748,*PLANTAS BONSAI SURT.10 CM.C/6,$57.22,168,BIOPRO,115,$114.32,AAA
BP9741,*PLANTAS SURT.10 CM.C/6,$57.97,173,BIOPRO,125,$115.83,AAA
MM-30,PLANTA PLAS. # 10 20X20X30 CM.,$61.95,109,BIOPRO,144,$123.76,AAA
MM-32,PLANTA PLAS. # 11 20X20X30 CM.,$61.95,123,BIOPRO,144,$123.76,AAA
MD-009,AD. SUCULENTA #3 8X8X7 CM.,$66.18,65,BIOPRO,96,$132.34,AAA
MM-16,PLANTA PLAS. # 4 20X20X23 CM.,$67.18,113,BIOPRO,144,$134.27,AAA
MM-14,PLANTA PLAS. # 3 20X20X23 CM.,$67.18,122,BIOPRO,144,$134.27,AAA
MM-26,PLANTA PLAS. # 9 25X25X24 CM.,$70.66,116,BIOPRO,144,$141.14,AAA
MM-25,PLANTA PLAS. # 8 25X25X24 CM.,$70.66,120,BIOPRO,144,$141.14,AAA
MM-9,PLANTA PLAS. # 1 30X30 X8 CM,$70.66,120,BIOPRO,144,$141.14,AAA
MM-12,PLANTA PLAS. # 2 30X30X8 CM.,$70.66,131,BIOPRO,144,$141.14,AAA
BP9750,PLANTAS TERRARIO 10CM.4PZ.,$71.66,191,BIOPRO,50,$143.28,AAA
MD-018,AD. PIEDRA C/PLANTA #3 13X13X11 CM.,$75.89,24,BIOPRO,48,$151.65,AAA
BP9747,*PLANTA BONSAI GRANDE,$77.13,225,BIOPRO,100,$154.22,AAA
MD-020,AD. PALMA 8X4X17 CM.,$88.08,21,BIOPRO,36,$176.10,AAA
MG-002,RAIZ C/PLANTAS #2 13X10X14 CM.,$108.23,9,BIOPRO,48,$216.43,AAA
MG-004,RAIZ C/PLANTAS #4 17X9X15 CM.,$108.23,11,BIOPRO,48,$216.43,AAA
MG-003,RAIZ C/PLANTAS #3 15X10X14 CM.,$108.23,13,BIOPRO,48,$216.43,AAA
MG-001,RAIZ C/PLANTAS #1 15X10X14 CM.,$108.23,17,BIOPRO,48,$216.43,AAA
MM-20,PLANTA PLAS. # 6 20X15X28 CM.,$114.20,129,BIOPRO,144,$228.22,AAA
BP9742,*PLANTAS SURT.20 CM.C/6,$114.95,152,BIOPRO,67,$229.72,AAA
MM-21,PLANTA PLAS. # 7 25X20X30 CM.,$116.69,115,BIOPRO,144,$233.37,AAA
AD-1012A,RAIZ DE MANGLAR CH.,$119.41,25,BIOPRO,20,$238.82,AAA
MG-007,RAIZ C/PLANTAS #7 17X9X15 CM.,$138.59,15,BIOPRO,48,$277.13,AAA
MG-006,RAIZ C/PLANTAS #6 17X9X15 CM.,$138.59,17,BIOPRO,48,$277.13,AAA
MG-005,RAIZ C/PLANTAS #5 17X9X15 CM.,$138.59,22,BIOPRO,48,$277.13,AAA
BP9744,*PLANTAS SURT.40 CM.C/4,$151.78,53,BIOPRO,50,$303.51,AAA
MA15,RAIZ DE VIÑEDO 20-30 CM.,$167.41,2,BIOPRO,40,$334.82,AAA
BP9745,*PLANTAS SURT.50 CM.C/4,$173.17,51,BIOPRO,24,$346.20,AAA
BP9743,*PLANTAS SURT. 30 CM.C/6,$183.13,105,BIOPRO,50,$366.15,AAA
MG-008,RAIZ C/PLANTAS #8 19X6X16 CM.,$184.37,4,BIOPRO,36,$368.72,AAA
MG-012,RAIZ C/PLANTAS #10 19X6X16 CM.,$184.37,25,BIOPRO,36,$368.72,AAA
MG-009,RAIZ C/PLANTAS #9 19X6X16 CM.,$184.37,29,BIOPRO,36,$368.72,AAA
MA25,RAIZ DE VIÑEDO 50-70 CM.,$198.36,1,BIOPRO,40,$396.72,AAA
MA30,RAIZ DRIFT WOOD 30-45 CM.,$236.64,19,BIOPRO,20,$473.28,AAA
AD-1014C,RAIZ DE MANGLAR GDE.,$238.39,16,BIOPRO,10,$476.78,AAA
BP9753,"PLANTA PLASTICO 3"" 50PZ.",$455.83,634,BIOPRO,16,$911.62,AAA
PLPI,PLANTA PIEDRA 5X9 CM.,$6.69,190,FERI,1,$13.38,AAA
AU568,*ESPONJA P/AQUACLEAR 150,$33.55,3,ACUALUZ,,$67.11,AA
AU567,*ESPONJA P/AQUACLEAR MINI,$37.79,6,ACUALUZ,,$75.58,A
AU570,*ESPONJA P/AQUACLEAR 300,$60.38,3,ACUALUZ,,$120.77,A
BP80-P,*PROPELA P/CASCADA BP80(OF),$15.67,30,BIOPRO,150,$31.31,AA
HF-200P,*PROPELA P/CASCADA HF-200,$16.17,85,BIOPRO,150,$32.17,AA
HF-400P,*PROPELA P/CASCADA HF-400,$19.40,12,BIOPRO,100,$38.61,AA
HF-600P,*PROPELA CASCADA HF-600,$21.64,18,BIOPRO,100,$43.11,AA
BP9918,*REP. P/CASCADA BP80 (2PZAS),$28.61,218,BIOPRO,200,$57.05,AAA
F18002200,FIBRA P/CANASTAS 1800 Y 2200,$32.09,35,BIOPRO,1,$64.13,AA
BP200-P,*PROPELA P/CASCADA BP200(OF),$32.84,142,BIOPRO,150,$65.63,AA
BP300-P,*PROPELA P/CASCADA BP300(OF),$36.07,146,BIOPRO,150,$72.07,AA
BP500-P,*PROPELA P/CASCADA BP500(OF),$39.56,127,BIOPRO,150,$78.93,AA
BP200CTD,*REP. P/CASCADA BP200 (2PZS),$49.01,650,BIOPRO,100,$98.02,AAA
E18002200,ESPONJA P/CANASTAS 1800 Y 2200,$50.75,40,BIOPRO,1,$101.45,AA
BP9920,*REP.P/CASCADA HF-200(2)PZA.,$51.25,200,BIOPRO,250,$102.31,AAA
BP800-P,*PROPELA P/CASCADA BP800(OF),$51.50,131,BIOPRO,150,$102.96,AA
EF-1200RI,REPUESTO CANASTA B-915 Y B-916,$51.75,15,BIOPRO,1,$103.38,A
ECF-1500RI,REPUESTOS CANASTA ECF-1500,$58.22,2,BIOPRO,1,$116.25,AA
HF-400CTD,*REP. P/CASCADA HF-400 (2)PZA.,$61.70,270,BIOPRO,125,$123.33,AAA
BP300CTD,*REP. P/CASCADA BP300 (2PZS),$66.93,933,BIOPRO,100,$133.84,AAA
HBL-RE701,REP.CASCADAS HBL-701 2 PZ.,$67.67,127,BIOPRO,1,$135.34,AAA
HBL-RE,REP.CASCADAS HBL-501 2 PZ.,$68.42,563,BIOPRO,1,$136.85,AAA
BP9922,*REP. P/CASCADA HF-600 (2)PZA.,$71.90,117,BIOPRO,125,$143.71,AAA
BP500CTD,*REP. P/CASCADA BP500 (2PZS),$76.88,809,BIOPRO,100,$153.58,AAA
ES18002200,EMPAQUE SUP. P/CANASTAS 1800 Y 2200,$82.11,23,BIOPRO,1,$164.09,AA
P18002200,PROPELA P/CANASTAS 1800 Y 2200,$112.71,16,BIOPRO,1,$225.22,AA
BP800CTD,*REP. P/CASCADA BP800 (2PZS),$128.39,154,BIOPRO,50,$256.75,AAA
C18002200,CONECTOR P/CANASTAS 1800 Y 2200,$145.55,18,BIOPRO,1,$291.07,AA
FUV180220,FOCO ULTRAVIOLETA UVF-1800/2200,$242.59,5,BIOPRO,1,$485.19,AA
V18002200,TUBOS/VENTOSAS P/CANASTAS 1800-2200,$255.04,9,BIOPRO,1,$510.08,AA
B18002200,BOTE P/CANASTAS 1800,$576.76,3,BIOPRO,1,"$1,153.36",AA
B180220UV,BOTE P/CANASTAS 2200,$641.45,3,BIOPRO,1,"$1,282.71",AA
GPRTG,"REPUESTO TUBO 12"" C/10 PZ.",$48.49,1,CAT,,$96.99,AA
HA18080,*KIT 800/801/802 BOMBAS DE AIRE,$21.28,19,HAGEN,24,$42.57,AAA
HA18030,*KIT REPARACION 799,$21.87,14,HAGEN,24,$43.75,AA
HA18330,*KIT OPTIMA/MAXIMA,$70.52,18,HAGEN,24,$141.05,AA
HA18060,DIAFRAGMA P/BOMBA 801/802.,$8.51,7,LOMAS,1,$17.02,AA
BP9541,"TUBO T8 COLORMAX 18"" 15 W",$55.48,1401,BIOPRO,25,$110.89,AAA
BP-9511,"TUBO T8 20,000 K 18 PULGADAS 15 W",$55.98,380,BIOPRO,25,$111.96,AAA
BP9531,TUBO T8 50 50 18 PULGADAS 15 W,$59.21,35,BIOPRO,25,$118.40,AAA
BP9501,"TUBO T8 10,000 K 18"" 15 W",$62.70,657,BIOPRO,25,$125.26,AAA
BP9521,"TUBO T8 ACTINICA 18"" 15 W",$70.35,820,BIOPRO,25,$140.28,AAA
JUP-01RE,FOCO ULTRAVIOLETA 9 W(OF),$145.31,19,BIOPRO,1,$290.43,AAA
JUP-02RE,FOCO ULTRAVIOLETA 5 W(OF),$157.00,24,BIOPRO,1,$313.81,AAA
UV9W,FOCO ULTRAVIOLETA 9 W,$184.37,18,BIOPRO,12,$368.72,AA
UV-PL7W,FOCO ULTRAVIOLETA 7 W(OF),$214.70,30,BIOPRO,8,$428.78,AA
UV13W,FOCO ULTRAVIOLETA 13 W(OF),$218.96,16,BIOPRO,12,$437.79,AA
UV24W,FOCO ULTRAVIOLETA 24 W(OF),$318.48,20,BIOPRO,12,$636.85,AA
UV18W,FOCO ULTRAVIOLETA 18 W (OF),$336.15,30,BIOPRO,12,$672.24,AA
UV36W,FOCO ULTRAVIOLETA 36 W (OF),$394.13,12,BIOPRO,24,$788.07,AA
HL-R25,FOCO DIA P/PECES ROJO 25 W (OF),$42.93,9,ZOO MED,12,$85.58,AAA
HL-R15,FOCO DIA P/PECES 15 W. ROJO,$53.99,12,ZOO MED,12,$107.89,AAA
HL-C25,FOCO ROSCA 25 W.CLARO P/PECES,$55.73,60,ZOO MED,12,$111.32,AAA
HL-C15,FOCO 15W.CLARO P/PECES,$56.23,50,ZOO MED,12,$112.39,AAA
HL-B15,FOCO DIA P/PECES 15 W. AZUL,$62.20,7,ZOO MED,12,$124.41,AAA
HL-B25,FOCO ROSCA 25W.AZUL P/PECES,$63.94,21,ZOO MED,12,$127.84,AAA
J07J53-60,RESP. D/VISTA 60CM X 15M.,$32.84,250,BASURA,9,$65.63,AA
RES-20,RESPALDO DE P/20 GAL. 60X35.5CM,$18.27,190,BIOPRO,1,$36.54,AAA
RES-10,RESPALDO DE P/10 GAL. 50.3X27.5CM,$29.96,805,BIOPRO,1,$59.92,AAA
BP9709,RESPALDO DE 10 GAL 5 PZAS.,$64.96,302,BIOPRO,1,$129.92,AA
90919092-30,RESP. D/VISTA 30CM X 15M.-7,$306.30,49,BIOPRO,10,$612.39,AAA
90919092-40,RESP. D/VISTA 40CM X 15M.-23,$329.05,5,BIOPRO,10,$657.87,AAA
80118012-30,RESP. D/VISTA 30CM X 15M.-2,$331.92,44,BIOPRO,10,$663.66,AAA
90969097-30,RESP. D/VISTA 30CM X 15M.-5,$348.84,29,BIOPRO,10,$697.55,AAA
80138014-30,RESP. D/VISTA 30CM X 15M.-3,$352.57,12,BIOPRO,10,$705.06,AAA
90999031-30,RESP. D/VISTA 30CM X 15M.-6,$369.99,44,BIOPRO,10,$739.81,AAA
80069022-30,RESP. D/VISTA 30CM X 15M.-4,$369.99,48,BIOPRO,10,$739.81,AAA
80069022-40,RESP. D/VISTA 40CM X 15M.-22,$411.29,23,BIOPRO,10,$822.39,AAA
80218022-40,RESP. D/VISTA 40CM X 15M.-21,$432.44,40,BIOPRO,10,$864.86,AAA
90669029-50,RESP. D/VISTA 50CM X 15M.-34,$508.09,19,BIOPRO,10,"$1,016.08",AAA
